🕘️更新时间,#genre#
2026-08-22 06:23:28,http://222.212.84.190:54123/rtp/239.93.0.184:5140

📺央视频道,#genre#
CCTV-1,http://222.212.84.190:54123/rtp/239.93.0.184:5140
CCTV-2,http://222.212.84.190:54123/rtp/239.93.1.23:6000
CCTV-3,http://222.212.84.190:54123/rtp/239.93.0.11:5140
CCTV-4,http://222.212.84.190:54123/rtp/239.93.1.105:5140
CCTV-5,http://222.212.84.190:54123/rtp/239.93.0.12:5140
CCTV-5+,http://222.212.84.190:54123/rtp/239.93.1.36:8004
CCTV-6,http://222.212.84.190:54123/rtp/239.93.0.13:5140
CCTV-7,http://222.212.84.190:54123/rtp/239.93.1.67:5140
CCTV-8,http://222.212.84.190:54123/rtp/239.93.42.39:5140
CCTV-9,http://222.212.84.190:54123/rtp/239.93.1.24:5140
CCTV-10,http://222.212.84.190:54123/rtp/239.93.1.28:5140
CCTV-11,http://222.212.84.190:54123/rtp/239.93.0.102:5140
CCTV-12,http://222.212.84.190:54123/rtp/239.93.1.30:8124
CCTV-13,http://222.212.84.190:54123/rtp/239.93.0.66:5140
CCTV-14,http://222.212.84.190:54123/rtp/239.93.1.29:6000
CCTV-15,http://222.212.84.190:54123/rtp/239.93.0.103:5140
CCTV-17,http://222.212.84.190:54123/rtp/239.93.0.92:5140

📺凤凰频道,#genre#
凤凰中文,http://222.212.84.190:54123/rtp/239.93.0.162:2192
凤凰资讯,http://222.212.84.190:54123/rtp/239.93.0.118:2191

📺四川频道,#genre#
四川文化,http://222.212.84.190:54123/rtp/239.93.1.101:5140
四川经济,http://222.212.84.190:54123/rtp/239.93.1.102:5140
四川新闻,http://222.212.84.190:54123/rtp/239.93.0.47:5140
四川影视,http://222.212.84.190:54123/rtp/239.93.0.166:5140
星空购物,http://222.212.84.190:54123/rtp/239.93.1.144:5140
妇女儿童,http://222.212.84.190:54123/rtp/239.93.0.219:5140
四川乡村,http://222.212.84.190:54123/rtp/239.93.0.52:5140
四川科教,http://222.212.84.190:54123/rtp/239.93.42.44:5140
成都新闻,http://222.212.84.190:54123/rtp/239.93.0.16:5140
成都经济,http://222.212.84.190:54123/rtp/239.93.0.17:1239
成都都市,http://222.212.84.190:54123/rtp/239.93.0.18:1238
成都影视,http://222.212.84.190:54123/rtp/239.93.0.19:1250
成都公共,http://222.212.84.190:54123/rtp/239.93.1.231:5140
成都少儿,http://222.212.84.190:54123/rtp/239.93.0.21:1251
成都购物,http://222.212.84.190:54123/rtp/239.93.0.22:1252
蓉城先锋,http://222.212.84.190:54123/rtp/239.93.0.91:2101
熊猫频道,http://222.212.84.190:54123/rtp/239.93.0.211:9148
生活时尚,http://222.212.84.190:54123/rtp/239.93.42.29:5140
熊猫新闻,http://222.212.84.190:54123/rtp/239.93.1.112:5140
大爱四川,http://222.212.84.190:54123/rtp/239.93.1.110:5140
大爱生活,http://222.212.84.190:54123/rtp/239.93.42.71:5140
爱宠宠物,http://222.212.84.190:54123/rtp/239.93.42.32:5140
少儿天地,http://222.212.84.190:54123/rtp/239.93.42.34:5140
乐龄学堂,http://222.212.84.190:54123/rtp/239.93.1.179:5140
峨眉电影,http://222.212.84.190:54123/rtp/239.93.0.252:5140
精彩影视,http://222.212.84.190:54123/rtp/239.93.42.92:5140
都市剧场,http://222.212.84.190:54123/rtp/239.93.42.30:5140
CHC高清电影,http://222.212.84.190:54123/rtp/239.93.42.5:5140
CHC家庭影院,http://222.212.84.190:54123/rtp/239.93.42.6:5140
CHC动作电影,http://222.212.84.190:54123/rtp/239.93.42.7:5140

📺IHOT频道,#genre#
爱喜剧,http://222.212.84.190:54123/rtp/239.93.42.9:5140
爱科幻,http://222.212.84.190:54123/rtp/239.93.42.10:5140
爱院线,http://222.212.84.190:54123/rtp/239.93.42.11:5140
爱悬疑,http://222.212.84.190:54123/rtp/239.93.42.12:5140
爱历史,http://222.212.84.190:54123/rtp/239.93.42.13:5140
爱谍战,http://222.212.84.190:54123/rtp/239.93.42.14:5140
爱旅行,http://222.212.84.190:54123/rtp/239.93.42.16:5140
爱幼教,http://222.212.84.190:54123/rtp/239.93.42.17:5140
爱玩具,http://222.212.84.190:54123/rtp/239.93.42.18:5140
爱体育,http://222.212.84.190:54123/rtp/239.93.42.19:5140
爱赛车,http://222.212.84.190:54123/rtp/239.93.42.20:5140
爱浪漫,http://222.212.84.190:54123/rtp/239.93.42.21:5140
爱奇谈,http://222.212.84.190:54123/rtp/239.93.42.22:5140
爱动漫,http://222.212.84.190:54123/rtp/239.93.42.23:5140

📺卫视频道,#genre#
北京卫视4K,http://222.212.84.190:54123/rtp/239.93.42.102:5140
广东卫视,http://222.212.84.190:54123/rtp/239.93.0.181:5140
深圳卫视,http://222.212.84.190:54123/rtp/239.93.0.182:5140
浙江卫视,http://222.212.84.190:54123/rtp/239.93.0.124:5140
湖南卫视,http://222.212.84.190:54123/rtp/239.93.0.88:5140
北京卫视,http://222.212.84.190:54123/rtp/239.93.0.180:5140
黑龙江卫视,http://222.212.84.190:54123/rtp/239.93.0.183:5140
安徽卫视,http://222.212.84.190:54123/rtp/239.93.1.106:5140
重庆卫视,http://222.212.84.190:54123/rtp/239.93.1.107:5140
东方卫视,http://222.212.84.190:54123/rtp/239.93.0.123:5140
东南卫视,http://222.212.84.190:54123/rtp/239.93.0.42:5140
甘肃卫视,http://222.212.84.190:54123/rtp/239.93.0.81:5140
广西卫视,http://222.212.84.190:54123/rtp/239.93.42.46:5140
贵州卫视,http://222.212.84.190:54123/rtp/239.93.0.131:5140
河北卫视,http://222.212.84.190:54123/rtp/239.93.0.132:5140
河南卫视,http://222.212.84.190:54123/rtp/239.93.42.45:5140
吉林卫视,http://222.212.84.190:54123/rtp/239.93.0.248:5140
江苏卫视,http://222.212.84.190:54123/rtp/239.93.0.89:5140
江西卫视,http://222.212.84.190:54123/rtp/239.93.0.134:5140
辽宁卫视,http://222.212.84.190:54123/rtp/239.93.1.108:5140
山东卫视,http://222.212.84.190:54123/rtp/239.93.0.168:5140
湖北卫视,http://222.212.84.190:54123/rtp/239.93.0.250:5140
四川卫视,http://222.212.84.190:54123/rtp/239.93.0.20:1235
天津卫视,http://222.212.84.190:54123/rtp/239.93.0.167:5140
康巴卫视,http://222.212.84.190:54123/rtp/239.93.0.41:5140
云南卫视,http://222.212.84.190:54123/rtp/239.93.1.174:5140
